source_id,source_title,relation_type,target,basis
VIRT-SOSP25-11,CHERIoT RTOS: An OS for Fine-Grained Memory-Safe Compartments on Low-Cost Embedd,ALTERNATIVE,VIRT-SOSP25-12,capability compartments versus MPU/PMP regions as the isolation mechanism for microcontroller-class devices; the paper argues MPUs' ~8 domains force over-privileging
VIRT-SOSP25-12,TickTock: Verified Isolation in a Production Embedded OS,SAME_BRANCH,VIRT-SOSP25-03,"both check that a production isolation kernel's abstract view matches enforced hardware protection -- stage-2 page tables there, MPU/PMP registers here"
VIRT-SOSP25-12,TickTock: Verified Isolation in a Production Embedded OS,LAYER_BELOW,VIRT-SOSP25-04,"Miralis virtualizes the very PMP registers whose correct configuration TickTock verifies, so TickTock's bug classes are the correctness burden Miralis inherits and must multiplex"
VIRT-SOSP25-12,TickTock: Verified Isolation in a Production Embedded OS,SAME_BRANCH,VIRT-SOSP25-17,"same OS (Tock) and same isolation architecture, examined formally here and retrospectively there"
VIRT-SOSP25-13,μFork: Supporting POSIX fork Within a Single-Address-Space OS,LAYER_BELOW,VIRT-SOSP25-11,"uFork depends on CHERI capability tags and bounds, the mechanism CHERIoT RTOS characterises in detail"
VIRT-SOSP25-13,μFork: Supporting POSIX fork Within a Single-Address-Space OS,ALTERNATIVE,VIRT-SOSP25-08,"both cut FaaS start cost by refusing multiple address spaces, Dandelion by dropping the guest OS and uFork by retrofitting fork into a unikernel"
VIRT-SOSP25-13,μFork: Supporting POSIX fork Within a Single-Address-Space OS,SAME_BRANCH,VIRT-SOCC25-02,"both are unikernel memory-efficiency mechanisms -- uFork sharing pages across forked micro-processes, load-time deduplication sharing pages across unikernel instances"
VIRT-SOSP25-14,LithOS: An Operating System for Efficient Machine Learning on GPUs,CONTRASTS_WITH,VIRT-SOSP25-07,spatial hardware-isolated partitioning versus temporal token-granularity multiplexing as the two ways to raise GPU density
VIRT-SOSP25-14,LithOS: An Operating System for Efficient Machine Learning on GPUs,ALTERNATIVE,MIG,the paper positions TPC masking as finer and dynamic where MIG is GPC-granular and static
VIRT-SOSP25-14,LithOS: An Operating System for Efficient Machine Learning on GPUs,ALTERNATIVE,MPS,MPS shares compute units with weak isolation and no priority; LithOS gives disjoint TPCs and priorities
VIRT-SOSP25-14,LithOS: An Operating System for Efficient Machine Learning on GPUs,SAME_BRANCH,VIRT-SOSP25-10,both spatially partition an accelerator's fabric with per-partition hardware isolation
VIRT-SOSP25-15,Tai Chi: A General High-Efficiency Scheduling Framework for SmartNICs in Hypersc,ALTERNATIVE,VIRT-SOSP25-05,"both recover wasted I/O capacity in hyperscale clouds, Tai Chi by reclaiming idle SmartNIC cycles on one host and Oasis by pooling devices across hosts"
VIRT-SOSP25-15,Tai Chi: A General High-Efficiency Scheduling Framework for SmartNICs in Hypersc,SAME_BRANCH,Triton: A Flexible Hardware Offloading Architecture for Accelerating Apsara vSwitch in Alibaba Cloud,same Alibaba SmartNIC/CIPU platform and the same offloaded virtual-switch datapath that Tai Chi's data-plane services implement
VIRT-SOSP25-16,Scalable Far Memory: Balancing Faults and Evictions,ALTERNATIVE,VIRT-SOSP25-02,"opposite answers to where memory-expansion policy belongs -- Mage scales the host fault/eviction path, Demeter delegates the decision into the guest"
VIRT-SOSP25-16,Scalable Far Memory: Balancing Faults and Evictions,SAME_BRANCH,VIRT-SOSP25-05,"both extend a host's resources across a fabric, memory over RDMA here and PCIe devices over CXL there"
VIRT-SOSP25-17,Tock: From Research To Securing 10 Million Computers,SAME_BRANCH,VIRT-SOSP25-12,same OS and same MPU-based isolation architecture; TickTock verifies what this paper describes shipping
VIRT-SOSP25-17,Tock: From Research To Securing 10 Million Computers,ALTERNATIVE,VIRT-SOSP25-11,MPU-plus-Rust isolation versus CHERI capability compartments for the same class of device; the CHERIoT paper cites Tock's 87 KB network stack as a size comparison
VIRT-SOCC25-01,Hydra: Virtualized Multi-Language Runtime for High-Density Serverless Platforms,SAME_BRANCH,VIRT-SOCC25-02,both reduce serverless memory overhead via a lighter-weight substitute for classic OS/VM isolation (isolate sandboxes vs. unikernel library deduplication)
VIRT-SOCC25-02,Memory Matters: Load-Time Deduplication for Unikernels,ALTERNATIVE,VIRT-SOCC25-01,"both attack serverless/unikernel density via a substitute for classic OS-level page/process sharing, one at load time (this paper) and one via JIT/runtime isolate sharing (Hydra)"
VIRT-SOCC25-03,Cost-Efficient Cloud Infrastructure with Hugepage-aware Memory Deduplication,SAME_BRANCH,VIRT-ATC25-14,Both are same-page/hugepage-granularity VM memory-deduplication mechanisms in taxonomy T2; grouped pending confirmation of this paper's actual design once accessible.
VIRT-SOCC25-05,Funky: Cloud-Native FPGA Virtualization and Orchestration,SAME_BRANCH,F3: An FPGA-accelerated FaaS Framework,"both from the TUM/MPI-SWS group, both use a unikernel guest + per-node FPGA manager mediating hypercalls to a partitioned reconfigurable region; Funky targets cloud-native orchestration generally, F3 targets FaaS specifically"
VIRT-SOCC25-05,Funky: Cloud-Native FPGA Virtualization and Orchestration,ALTERNATIVE,Proteus: Heterogeneous FPGA Virtualization,both virtualize FPGA slots for multi-tenant cloud use via different isolation/orchestration designs
VIRT-SOCC25-14,Understanding GPU Resource Interference One Level Deeper,TRADEOFF_PAIR,VIRT-HPDC25-02,"this paper explains why MPS-style soft spatial sharing has unpredictable interference, motivating FluidFaaS's choice of hardware-isolated MIG instead"
VIRT-SOCC25-21,Rethinking Tiered Memory Management in Cloud Data Centers,SAME_BRANCH,VIRT-SOSP25-02,"both address the guest-hypervisor semantic gap in VM memory tiering, one by guest-side hotness consolidation (this paper, if identity confirmed) and one by guest-side full tiering delegation (Demeter)"
VIRT-SOCC25-22,VLCs: Managing Parallelism with Virtualized Libraries,SAME_BRANCH,VIRT-HPDC25-03,both are boundary-case virtualizations that intercept execution (syscall/trap) to present a partial or transformed resource view without full OS/VM isolation
VIRT-SC25-01,BOER: Enhancing Resource Utilization for Deep Learning Inference with Hybrid Spa,SAME_BRANCH,VIRT-SOCC25-14,"both are about the practical difficulty of safely colocating workloads on a spatially-shared GPU, one via microarchitectural measurement (SoCC25-14) and one via a predictive scheduler (this paper)"
VIRT-SC25-03,XaaS Containers: Performance-Portable Representation With Source and IR Containe,SAME_BRANCH,SC25-04,both are HPC container-image/build mechanism papers (source/IR portability vs. compilation-assisted adaptability) explicitly flagged for the CORE-vs-SUPPORT container threshold
VIRT-SC25-04,coMtainer: Compilation-assisted HPC Container Images with Enhanced Adaptability,SAME_BRANCH,VIRT-SC25-05,"Both are SC 2025 container-deployment/image-mechanism papers (build-side adaptability here, on-demand image-pull/edge-deployment there); adjacent points in the T5 container-runtime/image-mechanism design space."
VIRT-SC25-05,EDDE: Container Deployment Framework Beyond the Cloud,CONTRASTS_WITH,Nydus (on-demand container image pulling),"The paper directly benchmarks its own on-demand-pulling engine ('Gear') against Nydus and reports similar on-demand-pulling performance between the two, with EDDE's contribution being the eBPF-accelerated edge-server-local deployment path around that on-demand core."
VIRT-HPDC25-01,F3: An FPGA-accelerated FaaS Framework,SAME_BRANCH,VIRT-SOCC25-05,same TUM/MPI-SWS authors and near-identical vFPGA/unikernel/hypercall architecture; Funky generalizes this design to cloud-native orchestration beyond FaaS
VIRT-HPDC25-02,FluidFaaS: A Dynamic Pipelined Solution for Serverless Computing with Strong Iso,USES_MECHANISM_FROM,NVIDIA Multi-Instance GPU (MIG),builds its dynamic pipelining and time-sharing entirely on top of MIG's existing hardware-isolated partitions
VIRT-HPDC25-02,FluidFaaS: A Dynamic Pipelined Solution for Serverless Computing with Strong Iso,CONTRASTS_WITH,VIRT-SOCC25-14,"SoCC25-14 shows MPS-style soft spatial sharing has unpredictable microarchitectural interference; this paper deliberately chooses hardware-isolated MIG to avoid that class of problem, at the cost of fixed partition granularity"
VIRT-HPDC25-03,"Virtualization So Light, it Floats! Accelerating Floating Point Virtualization",SAME_BRANCH,VIRT-SOCC25-22,both are boundary-case virtualizations built from trap/syscall interception rather than full guest/host machine virtualization
VIRT-HPDC25-03,"Virtualization So Light, it Floats! Accelerating Floating Point Virtualization",CONTRASTS_WITH,VIRT-SOSP25-03,"SOSP25-03 specifies/verifies a real hypervisor's trap-and-emulate-style stage-2 isolation; this paper applies the same conceptual pattern (selective trap interception) one layer away from any hypervisor, to arithmetic semantics"
VIRT-ASPLOS25-01,Vela: A Virtualized LLM Training System with GPU Direct RoCE,PRECURSOR,The infrastructure powering IBM's Gen AI model development (arXiv:2407.05467),Same Vela system and overlapping author set; describes the KVM/SR-IOV/ATS design and the 5% overhead measurements that the ASPLOS paper builds on
VIRT-ASPLOS25-01,Vela: A Virtualized LLM Training System with GPU Direct RoCE,TRADEOFF_PAIR,device passthrough vs software-mediated virtio/vSwitch I/O,Vela chooses passthrough + SR-IOV for performance and thereby forfeits live migration and transparent memory management
VIRT-ASPLOS25-02,HyperHammer: Breaking Free from KVM-Enforced Isolation,ALTERNATIVE,Rowhammer attacks against co-resident VMs,Paper positions itself against prior virtualized-Rowhammer work that targeted only co-resident VMs or required disabled security features
VIRT-ASPLOS25-02,HyperHammer: Breaking Free from KVM-Enforced Isolation,LAYER_BELOW,"confidential VM architectures (AMD SEV, Intel TDX, Arm CCA)","Shows DRAM-level disturbance defeats page-table-level isolation, motivating memory-encryption/integrity designs"
VIRT-ASPLOS25-03,Tally: Non-Intrusive Performance Isolation for Concurrent Deep Learning Workload,ALTERNATIVE,MIG/MPS hardware and driver-level GPU partitioning,Paper directly measures MPS and discusses MIG's static-partition and reconfiguration-latency limits as the alternative design point
VIRT-ASPLOS25-03,Tally: Non-Intrusive Performance Isolation for Concurrent Deep Learning Workload,SAME_BRANCH,VIRT-ASPLOS25-06,"Both intercept CUDA to arbitrate one GPU between tenants; Dilu adjusts SM quotas elastically, Tally preempts at block granularity"
VIRT-ASPLOS25-03,Tally: Non-Intrusive Performance Isolation for Concurrent Deep Learning Workload,CONTRASTS_WITH,VIRT-SC25-01,BOER layers MPS on MIG partitions (spatial) where Tally argues spatial sharing cannot bound tail latency and uses transformed-kernel temporal sharing
VIRT-ASPLOS25-04,Tela: A Temporal Load-Aware Cloud Virtual Disk Placement Scheme,SAME_BRANCH,VIRT-ASPLOS25-12,"Both exploit complementary temporal usage patterns of tenants to pack a shared physical resource - Coach for VM CPU/memory/network, Tela for virtual disks"
VIRT-ASPLOS25-04,Tela: A Temporal Load-Aware Cloud Virtual Disk Placement Scheme,LAYER_ABOVE,VIRT-ASPLOS25-10,FleetIO arbitrates inside one virtualized device at runtime; Tela decides which device a virtual disk lands on in the first place
VIRT-ASPLOS25-05,Embracing Imbalance: Dynamic Load Shifting among Microservice Containers in Shar,LAYER_ABOVE,container isolation (namespace/cgroup) mechanisms,Its premise is the measurable residual interference left by container isolation in shared clusters
VIRT-ASPLOS25-06,Dilu: Enabling GPU Resourcing-on-Demand for Serverless DL Serving via Introspect,SAME_BRANCH,VIRT-ASPLOS25-03,"Both are CUDA-interception arbiters over one physical GPU; Tally optimises tail-latency isolation, Dilu optimises elasticity/fragmentation"
VIRT-ASPLOS25-06,Dilu: Enabling GPU Resourcing-on-Demand for Serverless DL Serving via Introspect,ALTERNATIVE,"MPS-based fixed spatial partitions (e.g. GPUlet, FaST-GS)",Paper positions token-based dynamic quotas against prior work's fixed MPS allocations
VIRT-ASPLOS25-07,Litmus: Fair Pricing for Serverless Computing,CONTRASTS_WITH,resource-partitioning approaches to serverless interference,Paper explicitly rejects partitioning as capacity-inefficient and proposes compensation instead
VIRT-ASPLOS25-08,Concurrency-Informed Orchestration for Serverless Functions,LAYER_ABOVE,lightweight sandbox / snapshot-restore mechanisms,Policy-level workaround for expensive sandbox creation rather than a cheaper sandbox
VIRT-ASPLOS25-09,Medusa: Accelerating Serverless LLM Inference with Materialization,SAME_BRANCH,serverless snapshot/restore (VM and container snapshotting),Same design pattern - restore initialized state instead of re-initializing - applied to GPU runtime state
VIRT-ASPLOS25-09,Medusa: Accelerating Serverless LLM Inference with Materialization,ALTERNATIVE,VIRT-ASPLOS25-08,CIDRE hides cold starts by keeping sandboxes warm; Medusa makes the cold start itself cheap
VIRT-ASPLOS25-10,FleetIO: Managing Multi-Tenant Cloud Storage with Multi-Agent Reinforcement Lear,TRADEOFF_PAIR,hardware-partitioned vSSDs vs token-bucket-throttled shared vSSDs,Paper measures both baselines and positions itself between them
VIRT-ASPLOS25-10,FleetIO: Managing Multi-Tenant Cloud Storage with Multi-Agent Reinforcement Lear,SAME_BRANCH,VIRT-ASPLOS25-12,Both split a virtualized resource into a guaranteed part and an opportunistically shared part
VIRT-ASPLOS25-11,Design and Operation of Shared Machine Learning Clusters on Campus,LAYER_ABOVE,VIRT-ASPLOS25-03,Documents the coarse whole-GPU allocation regime that GPU-sharing mechanisms such as Tally and Dilu are designed to improve
VIRT-ASPLOS25-12,Coach: Exploiting Temporal Patterns for All-Resource Oversubscription in Cloud P,ALTERNATIVE,memory ballooning and hypervisor-driven page reclamation,"Coach deliberately avoids guest modification, using a zero-size NUMA node and page trimming instead of a balloon driver"
VIRT-ASPLOS25-12,Coach: Exploiting Temporal Patterns for All-Resource Oversubscription in Cloud P,USES_MECHANISM_FROM,VM live migration,Live migration is one of Coach's reactive mitigations when host contention is detected
VIRT-ASPLOS25-12,Coach: Exploiting Temporal Patterns for All-Resource Oversubscription in Cloud P,SAME_BRANCH,VIRT-ASPLOS25-10,"Guaranteed-plus-harvestable split of a virtualized resource, applied to VM memory/CPU rather than to vSSD bandwidth"
VIRT-ASPLOS25-13,Harmonia: A Unified Framework for Heterogeneous FPGA Acceleration in the Cloud,ALTERNATIVE,Vitis / oneAPI / Coyote FPGA shells,Directly compared on shell resource use and software configuration complexity
VIRT-ASPLOS25-13,Harmonia: A Unified Framework for Heterogeneous FPGA Acceleration in the Cloud,LAYER_BELOW,tenant FPGA roles / accelerator kernels,The shell is the virtualization layer beneath tenant logic
VIRT-ASPLOS25-14,Cooperative Graceful Degradation in Containerized Clouds,LAYER_ABOVE,VIRT-ASPLOS25-12,Oversubscription creates the capacity risk; cooperative degradation is one way applications absorb it
VIRT-MIDDLEWARE25-01,Clair Obscur: The Light and Shadow of System Call Interposition – From Pitfalls ,SAME_BRANCH,VIRT-MIDDLEWARE25-11,svc-hook solves the same interposition-by-binary-rewriting problem on ARM64 where K23's x86 syscall/sysenter rewriting does not apply
VIRT-MIDDLEWARE25-01,Clair Obscur: The Light and Shadow of System Call Interposition – From Pitfalls ,PRECURSOR,zpoline (ATC 2023),K23 reuses zpoline's callq *%rax rewrite and address-0 trampoline but adds offline address validation
VIRT-MIDDLEWARE25-01,Clair Obscur: The Light and Shadow of System Call Interposition – From Pitfalls ,PRECURSOR,lazypoline,"paper enumerates lazypoline's bypass (prctl), atomicity and I-cache pitfalls as motivation"
VIRT-MIDDLEWARE25-01,Clair Obscur: The Light and Shadow of System Call Interposition – From Pitfalls ,LAYER_ABOVE,Linux Syscall User Dispatch / ptrace / seccomp,K23 composes all three kernel facilities rather than choosing one
VIRT-MIDDLEWARE25-02,Full Trust Alchemist: Reforging Attestation for Cloud-based Confidential Workloa,SAME_BRANCH,VIRT-MIDDLEWARE25-12,both harden TEE-protected workloads beyond what the hardware attestation alone guarantees
VIRT-MIDDLEWARE25-02,Full Trust Alchemist: Reforging Attestation for Cloud-based Confidential Workloa,LAYER_BELOW,AMD SEV-SNP,builds directly on SEV-SNP launch measurement and attestation reports
VIRT-MIDDLEWARE25-03,Tiaccoon: Unified Access Control with Multiple Transports in Container Networks,ALTERNATIVE,VXLAN/Geneve container overlay networks,Tiaccoon replaces the overlay datapath while keeping its policy semantics
VIRT-MIDDLEWARE25-03,Tiaccoon: Unified Access Control with Multiple Transports in Container Networks,SAME_BRANCH,Grafting sockets for fast container networking (ANCS 2018),same socket-level transport substitution idea for containers
VIRT-MIDDLEWARE25-04,Roadrunner: Accelerating Data Delivery to WebAssembly-Based Serverless Functions,TRADEOFF_PAIR,VIRT-MIDDLEWARE25-05,"both trade Wasm's cheap isolation against native/container execution speed, from opposite directions"
VIRT-MIDDLEWARE25-04,Roadrunner: Accelerating Data Delivery to WebAssembly-Based Serverless Functions,USES_MECHANISM_FROM,WasmEdge,implemented as host-function extensions over the WasmEdge runtime
VIRT-MIDDLEWARE25-04,Roadrunner: Accelerating Data Delivery to WebAssembly-Based Serverless Functions,CONTRASTS_WITH,Faasm (ATC 2020) software-fault-isolation shared memory,"same shared-linear-memory idea, different safety argument"
VIRT-MIDDLEWARE25-05,A Hybrid Runtime for Function-as-a-Service at the Edge,TRADEOFF_PAIR,VIRT-MIDDLEWARE25-04,Roadrunner attacks Wasm's data-path cost; RUNE attacks Wasm's execution-speed cost by falling back to containers
VIRT-MIDDLEWARE25-05,A Hybrid Runtime for Function-as-a-Service at the Edge,ALTERNATIVE,microVM snapshot/restore (Firecracker-style),a different answer to the same cold-start problem — cheap restore of a heavier boundary instead of a lighter boundary
VIRT-MIDDLEWARE25-06,FaaSImage: An Efficient Image Manager for FaaS,SAME_BRANCH,Slacker: fast distribution with lazy docker containers (FAST 2016),FaaSImage's own framing sets it against on-demand image fetching work
VIRT-MIDDLEWARE25-06,FaaSImage: An Efficient Image Manager for FaaS,LAYER_BELOW,VIRT-MIDDLEWARE25-05,image materialisation is one of the cold-start components a hybrid runtime tries to avoid paying
VIRT-MIDDLEWARE25-07,WasmEye: Language- and Platform-independent Anomaly Detection for WebAssembly,LAYER_ABOVE,VIRT-MIDDLEWARE25-04,operates over Wasm-based deployments of the kind Roadrunner accelerates
VIRT-MIDDLEWARE25-07,WasmEye: Language- and Platform-independent Anomaly Detection for WebAssembly,ALTERNATIVE,VM introspection,same observe-a-guest-from-outside problem at the language-sandbox level instead of the hypervisor level
VIRT-MIDDLEWARE25-08,Capybara: an Edge-Friendly Distributed Object Store for Diverse Serverless Funct,LAYER_ABOVE,VIRT-MIDDLEWARE25-06,exposes function-image caching policy of the kind FaaSImage implements underneath
VIRT-MIDDLEWARE25-09,Mocha: Scalable and Compliant Function Scheduling for Federated Serverless Compu,SAME_BRANCH,VIRT-MIDDLEWARE25-10,both are FaaS control-plane/SLA papers at the same venue
VIRT-MIDDLEWARE25-10,Efficient Performance Guarantees for Function-as-a-Service with Cloud Allocators,SAME_BRANCH,VIRT-MIDDLEWARE25-09,both are FaaS control-plane papers in the same Middleware 2025 serverless session
VIRT-MIDDLEWARE25-11,svc-hook: hooking system calls on ARM64 by binary rewriting,SAME_BRANCH,VIRT-MIDDLEWARE25-01,"same interposition-completeness problem, different ISA; Yasukata is also the zpoline author that K23 builds on"
VIRT-MIDDLEWARE25-11,svc-hook: hooking system calls on ARM64 by binary rewriting,ALTERNATIVE,ASC-Hook: fast and transparent system call hook for Arm,competing ARM syscall-hook design
VIRT-MIDDLEWARE25-12,MVTEE: Multi-Variant Trusted Execution for Secure Model Inference,SAME_BRANCH,VIRT-MIDDLEWARE25-02,"both extend the trust story of a CPU TEE beyond hardware attestation, one at attestation time and one at execution time"
VIRT-MIDDLEWARE25-12,MVTEE: Multi-Variant Trusted Execution for Secure Model Inference,USES_MECHANISM_FROM,Gramine LibOS (SGX) and Gramine-TDX,variants are hosted as Gramine-shielded processes in SGX enclaves or TDX VMs
VIRT-MIDDLEWARE25-12,MVTEE: Multi-Variant Trusted Execution for Secure Model Inference,CONTRASTS_WITH,VIRT-MICRO25-01,"MVTEE explicitly leaves GPU and domain-specific TEEs unexplored, which is precisely ccAI's territory"
VIRT-MIDDLEWARE25-13,MTAT: Adaptive Fast Memory Management for Co-located Latency-Critical Workloads ,SAME_BRANCH,Tiered Memory Management: Access Latency is the Key! (SOSP 2024),both argue frequency-based tiering is the wrong signal
VIRT-MIDDLEWARE25-13,MTAT: Adaptive Fast Memory Management for Co-located Latency-Critical Workloads ,LAYER_ABOVE,CXL-attached and slow-tier memory hardware,policy layer over a heterogeneous memory hierarchy
VIRT-MIDDLEWARE25-14,"FlexClone: Efficient, Flexible and Pluggable File Cloning Support for Filesystem",LAYER_BELOW,VIRT-MIDDLEWARE25-06,container image layering and copy-up sit directly on filesystem clone/CoW support
VIRT-MIDDLEWARE25-14,"FlexClone: Efficient, Flexible and Pluggable File Cloning Support for Filesystem",SAME_BRANCH,Copy-on-Abundant-Write for Nimble File System Clones (TOS 2020),same problem of making clones cheap without block-granularity CoW
VIRT-CCGRID25-01,Energy Efficient Scheduling of AI/ML Workloads on Multi Instance GPUs with Dynam,SAME_BRANCH,VIRT-CCGRID25-09,both allocate fractional GPUs in a datacenter scheduler and both treat GPU fragmentation as the key cost
VIRT-CCGRID25-01,Energy Efficient Scheduling of AI/ML Workloads on Multi Instance GPUs with Dynam,LAYER_ABOVE,NVIDIA MIG hardware partitioning,the paper schedules over MIG rather than changing it
VIRT-CCGRID25-01,Energy Efficient Scheduling of AI/ML Workloads on Multi Instance GPUs with Dynam,ALTERNATIVE,MPS / time-sliced GPU sharing,temporal instead of spatial multiplexing of one GPU
VIRT-CCGRID25-02,Performance Characterization of Data Store Event Trigger Mechanisms for Serverle,SAME_BRANCH,VIRT-CCGRID25-03,both are serverless-platform performance papers in the same CCGrid serverless session
VIRT-CCGRID25-03,Hiku: Pull-Based Scheduling for Serverless Computing,LAYER_ABOVE,VIRT-MIDDLEWARE25-05,scheduling decides how often the cheap-isolation mechanisms a hybrid runtime provides are actually needed
VIRT-CCGRID25-04,ScalaSSC: Scalable Stateful Serverless Computing for Stream Processing Applicati,ALTERNATIVE,VIRT-MIDDLEWARE25-08,Capybara externalises function state into a distributed object store; ScalaSSC pulls it onto the worker node instead
VIRT-CCGRID25-05,SUPLEC: Microservice Scheduling Under Unexpected Peak Load in the Edge-Cloud Con,SAME_BRANCH,VIRT-CCGRID25-06,"same CCGrid cloud-continuum session, same SLO-driven placement problem"
VIRT-CCGRID25-06,LASSY: A Latency-Aware SLOs-Sufficing Scheduling System for the Cloud/Edge Conti,SAME_BRANCH,VIRT-CCGRID25-05,"same session, same SLO-driven edge-cloud placement problem, different model"
VIRT-CCGRID25-08,Choreography and Profiling of Quantum-Classical FaaS Workflows on Hybrid Clouds,SAME_BRANCH,Pilot-Quantum: A Quantum-HPC Middleware (CCGrid 2025),"same CCGrid Future Compute Continuum session, both quantum-HPC middleware"
VIRT-HPCA25-01,"NVMePass: A Lightweight, High-performance and Scalable NVMe Virtualization Archi",ALTERNATIVE,SR-IOV / SIOV / FVM hardware-assisted NVMe virtualization,Paper explicitly contrasts its software-only passthrough against these hardware-dependent alternatives on flexibility and availability grounds.
VIRT-HPCA25-01,"NVMePass: A Lightweight, High-performance and Scalable NVMe Virtualization Archi",ALTERNATIVE,SPDK vhost-NVMe / virtio-blk,Directly implemented and measured as baselines representing the software-mediated end of the NVMe virtualization spectrum.
VIRT-HPCA25-02,SpecMPK: Efficient In-Process Isolation with Speculative and Secure Permission U,LAYER_BELOW,"MPK-based in-process sandboxing systems (e.g. ERIM, Hodor-style compartmentalization)",SpecMPK optimizes the exact WRPKRU instruction those systems rely on for fast domain switches; it does not build the sandbox itself.
VIRT-HPCA25-02,SpecMPK: Efficient In-Process Isolation with Speculative and Secure Permission U,CONTRASTS_WITH,"Process/VM-level isolation (namespaces, hypervisor)","Paper explicitly scopes itself to single-address-space, single-process compartments rather than cross-process or cross-VM isolation."
VIRT-HPCA25-03,Concord: Rethinking Distributed Coherence for Software Caches in Serverless Envi,CONTRASTS_WITH,Faa$T (multi-copy serverless caching with version checks),Directly implemented and measured as the state-of-the-art baseline Concord replaces its version-check protocol against.
VIRT-HPCA25-06,RpcNIC: Enabling Efficient Datacenter RPC Offloading on PCIe-attached SmartNICs,CONTRASTS_WITH,VIRT-EUROSYS24-04,"RpcNIC offloads a concrete compute-heavy function (RPC (de)serialization) onto SmartNIC hardware with no multi-tenant isolation, exactly the gap S-NIC's hard TLB/cache/bus partitioning of NIC accelerators is built to close for such offloaded functions."
VIRT-MICRO25-01,ccAI: A Compatible and Confidential System for AI Computing,LAYER_ABOVE,TDX/SEV-SNP-style confidential VM (TVM),ccAI assumes an existing TVM protects CPU-side execution and adds the PCIe-to-accelerator leg on top.
VIRT-MICRO25-01,ccAI: A Compatible and Confidential System for AI Computing,CONTRASTS_WITH,GPU-vendor-specific confidential computing (e.g. NVIDIA Confidential Computing / H100 CC mode),ccAI is explicitly vendor-agnostic (GPU/NPU/FPGA from 3 different vendors) via a PCIe-level mechanism instead of a per-accelerator hardware TEE.
VIRT-MICRO25-02,"Re-architecting End-host Networking with CXL: Coherence, Memory, and Offloading",CONTRASTS_WITH,NVIDIA BlueField-3 SmartNIC (PCIe),Directly implemented and measured as the baseline CXL-NIC is compared against for both packet and KVS workloads.
VIRT-MICRO25-02,"Re-architecting End-host Networking with CXL: Coherence, Memory, and Offloading",LAYER_BELOW,Future CXL-based virtual/vNIC or SR-IOV device-virtualization designs,Establishes the coherent NIC-host memory substrate that a virtualized network-device abstraction over CXL would have to be built on.
VIRT-ASPLOS26-01,SG-IOV: Socket-Granular I/O Virtualization for SmartNIC-Based Container Networks,ALTERNATIVE,SR-IOV,Paper explicitly frames its contribution as overcoming SR-IOV's per-NIC virtual-function scalability ceiling.
VIRT-ASPLOS26-01,SG-IOV: Socket-Granular I/O Virtualization for SmartNIC-Based Container Networks,SAME_BRANCH,FastIOV: Fast Startup of Passthrough Network I/O Virtualization for Secure Containers (EuroSys 2025),Both target container-scale network I/O virtualization performance/scalability problems left by SR-IOV/passthrough designs.
VIRT-ASPLOS26-02,gShare: Efficient GPU Sharing with Aggressive Scheduling in Multi-tenant FaaS pl,CONTRASTS_WITH,uShare (HPCA 2026),"Both are 2026 GPU co-location/sharing papers; gShare virtualizes the GPU via VM/vfio-mdev passthrough for VM-based FaaS while uShare's exact mechanism could not be confirmed (access failure) but its title indicates non-VM, non-intrusive kernel co-location, a different point in the GPU-sharing design space."
VIRT-ASPLOS26-02,gShare: Efficient GPU Sharing with Aggressive Scheduling in Multi-tenant FaaS pl,ALTERNATIVE,FaaSwap / FaasCache / NoCache (prior serverless GPU caching baselines),Directly implemented and measured as baselines gShare improves cost/latency over.
VIRT-ASPLOS26-03,TEEM³: Core-Independent and Cooperating Trusted Execution Environments,SAME_BRANCH,VIRT-MICRO25-01 (ccAI),"Both address confidential computing spanning heterogeneous accelerators; ccAI extends one TVM's trust boundary over PCIe to untrusted accelerators, while TEEM3 instead composes multiple independently-implemented TEEs."
VIRT-ASPLOS26-04,WorksetEnclave: Towards Optimizing Cold Starts in Confidential Serverless with W,SAME_BRANCH,"Non-confidential serverless snapshot/restore systems (e.g. Catalyzer, REAP-style checkpoint/restore)","Solves the analogous cold-start problem but specifically for SGX EPC state rather than ordinary process/VM memory, the confidential-computing instance of the same design problem."
VIRT-ASPLOS26-05,Trust-V: Toward Secure and Reliable Storage for Trusted Execution Environments,LAYER_BELOW,Confidential VM / SGX-class TEE architectures,Trust-V assumes an existing TEE's execution isolation and extends its integrity guarantee into the storage stack beneath it.
VIRT-ASPLOS26-06,Detecting Inconsistencies in Arm CCA's Formally Verified Specification,LAYER_BELOW,Arm CCA Realms / Realm Management Monitor,"Directly analyses and finds confirmed bugs in the RMM's own formally verified specification, the mechanism that creates and isolates Arm confidential VMs."
VIRT-ASPLOS26-07,Fault Escaping: Improving Robustness of DPU Enhanced Platform with Mutual Assist,SAME_BRANCH,VIRT-OSDI26-02,"Shares at least six co-authors (Chao Zhang, Shuo Shi, Yibin Shen, Xudong Zheng, Jiesheng Wu, Jian Li) with M3U, all Alibaba Cloud Computing / Shanghai Jiao Tong University -- almost certainly the same production VM-infrastructure research group, suggesting Fault Escaping addresses fault-recovery for the same DPU-accelerated live-migration/VM platform M3U optimizes."
